Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Tesla Inc - Jacob Reed,AUTOMOTIVE,Revenue ($),1505,1690,1585,1844,1828,1711,1877,1786,1749,1835,2555,2416,2431
Tesla Inc - Jacob Reed,AUTOMOTIVE,Growth (%),0.0,12.3,5.4,22.6,21.5,13.7,24.7,18.7,16.2,21.9,69.8,60.6,61.5
Tesla Inc - Jacob Reed,AUTOMOTIVE,Gap ($),-,-,-,-,-,-,-,-,-,-,-,-,-
Tesla Inc - Jacob Reed,AUTOMOTIVE,Red Sites ($),-107,-67,-62,-74,-70,-70,-78,-84,-77,-91,-220,-229,-310
Tesla Inc - Jacob Reed,AUTOMOTIVE,Red Sites (#),1,1,1,1,1,1,1,1,1,1,2,2,2
Tesla Inc - Jacob Reed,AUTOMOTIVE,Headcount,355,366,371,391,384,384,383,412,433,398,531,520,527
Tesla Inc - Jacob Reed,AUTOMOTIVE,Separations,6,3,8,4,7,3,4,9,6,14,16,8,12
Tesla Inc - Jacob Reed,AUTOMOTIVE,Turnover (%),1.7,0.8,2.2,1.0,1.8,0.8,1.0,2.2,1.4,3.5,3.0,1.5,2.3
Tesla Inc - Jacob Reed,AUTOMOTIVE,CSAT,,,,,,,,,,,,,
Tesla Inc - Jacob Reed,AUTOMOTIVE,YTD Claims,1,-,-,-,-,-,-,-,1,1,1,1,2
Tesla Inc - Jacob Reed,AUTOMOTIVE,YTD Recordables,-,-,-,-,-,-,-,-,1,1,1,1,1
Tesla Inc - Jacob Reed,AUTOMOTIVE,TRIR,-,-,-,-,-,-,-,-,0.42,0.37,0.31,0.28,0.25
